Местное время в Байкальске;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
01.02.2017 5:00;-19.9;727.4;775.6;;90;Ветер, дующий с юго-юго-запада;1;;;Облаков нет.; ;;;;;;;;;;50.0;-21.1;;;;;;
01.02.2017 11:00;-14.1;727.2;774.2;;90;Ветер, дующий с юго-запада;1;;;Облаков нет.; ;;;;;;;;;;50.0;-15.4;;;;;;
01.02.2017 17:00;-11.7;725.4;771.8;;65;Ветер, дующий с северо-северо-запада;1;;;Облаков нет.; ;;;;;;;;;;50.0;-17.0;;;;;;
01.02.2017 23:00;-20.8;724.8;772.9;;85;Ветер, дующий с юго-запада;1;;;Облаков нет.; ;;;;;;;;;;50.0;-22.7;;;;;;
02.02.2017 5:00;-21.7;725.3;773.6;;85;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;50.0;-23.5;;;;;;
02.02.2017 11:00;-13.3;725.2;771.9;;90;Ветер, дующий с юга;1;;;Облаков нет.; ;;;-22.9;;;;;;;50.0;-14.6;;;;;;
02.02.2017 17:00;-12.5;724.0;770.5;;80;Ветер, дующий с севера;1;;;Облаков нет.; ;;;;;;;;;;50.0;-15.2;;;;;;
02.02.2017 23:00;-20.2;724.0;772.0;;90;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;50.0;-21.4;;;;;;
03.02.2017 5:00;-19.7;723.6;771.4;;90;Ветер, дующий с юго-юго-запада;1;;;70 – 80%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-20.9;;;;;;
03.02.2017 11:00;-10.0;723.9;769.9;;90;Ветер, дующий с юго-запада;1;;;90  или более, но не 100%; ;;;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-11.3;;;;;;
03.02.2017 17:00;-7.7;723.3;768.9;;43;Ветер, дующий с северо-северо-востока;1;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-18.3;;;;;;
03.02.2017 23:00;-16.3;723.4;770.5;;95;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;50.0;-16.9;;;;;;
04.02.2017 5:00;-18.1;723.4;771.0;;90;Ветер, дующий с юго-юго-запада;1;;;Облаков нет.; ;;;;;;;;;;50.0;-19.3;;;;;;
04.02.2017 11:00;-12.6;724.9;771.4;;90;Ветер, дующий с западо-юго-запада;1;;;70 – 80%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;-13.9;;;;;;
04.02.2017 17:00;-10.9;725.6;771.9;;80;Ветер, дующий с западо-северо-запада;1;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-13.7;;;;;;
04.02.2017 23:00;-20.5;727.2;775.5;;90;Ветер, дующий с юго-запада;1;;;Облаков нет.; ;;;;;;;;;;50.0;-21.7;;;;;;
05.02.2017 5:00;-16.1;727.2;774.6;;90;Ветер, дующий с юго-юго-запада;1;;;90  или более, но не 100%;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;-17.4;;;;;;
05.02.2017 11:00;-15.7;726.4;773.5;;85;Ветер, дующий с северо-северо-запада;1;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10.0;-17.6;;;;;;
